Unnamed: 0,DISTRICT,BLOCK,PANCHAYAT,VILLAGE,LATITUDE,LONGITUDE,PH,P,K,CA,MG
130,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.62475,76.67094444,4.0,21.22,244.38,406.65,78.98
131,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.629405556,76.67465556,3.8,28.38,171.14,388.7,37.78
132,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.63125,76.67527778,3.5,54.28,219.41,150.5,27.48
133,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.632638889,76.67466667,5.8,36.09,620.82,1000.0,322.8
134,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.634433333,76.67462778,4.8,33.61,422.46,793.2,94.78
135,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.625556677,76.67385,5.1,43.81,461.44,1000.0,184.08
136,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.636083333,76.67458333,4.1,34.99,545.44,321.95,84.48
138,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.633861111,76.67741667,5.3,112.96,565.26,1000.0,128.43
139,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.63324489,76.6526556,6.0,53.73,444.86,1000.0,101.65
140,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.632972222,76.67527778,5.8,48.22,425.15,1000.0,74.18
141,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.625544444,76.67466667,4.2,40.5,759.36,411.9,69.38
142,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.65463888,76.67462778,4.3,57.58,508.14,542.55,89.98
144,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.648388889,76.67458333,5.2,33.61,524.38,1000.0,232.15
145,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.631527778,76.67741667,4.1,71.91,413.39,485.2,112.65
148,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.631416667,76.66794444,4.5,23.14,311.81,698.25,144.23
149,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.632611111,76.66833333,5.9,111.03,480.48,1000.0,284.35
150,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.630472222,76.66875,4.7,158.15,507.58,853.6,80.35
151,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.630083333,76.68547222,4.6,45.19,425.71,770.75,145.6
152,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.629944444,76.68497222,6.8,46.01,307.44,228.0,48.08
153,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.629305556,76.66816667,4.6,59.79,356.5,590.8,108.53
154,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.629055556,76.66794444,4.9,29.76,276.75,413.1,74.18
156,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.627944444,76.68358333,5.0,121.78,248.98,1000.0,142.18
157,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.627333333,76.68316667,5.8,114.07,228.03,1000.0,144.23
158,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.626888889,76.68255556,5.1,156.5,277.09,529.95,105.08
159,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.626333333,76.68222222,6.1,94.78,658.56,1000.0,107.83
161,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.625138889,76.68052778,6.1,141.34,204.85,1000.0,144.93
162,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.641888889,76.68011111,6.0,38.3,182.11,1000.0,97.53
163,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.625166667,76.67986111,5.7,151.81,508.93,1000.0,248.63
164,Kottayam,Pampady,Akalakunnam,Chengalam East,9.62046,76.70811,6.2,28.65,282.91,467.35,500.0
165,Kottayam,Pampady,Akalakunnam,Chengalam East,9.62142,76.70816,7.1,28.38,448.9,629.35,411.33
166,Kottayam,Pampady,Akalakunnam,Chengalam East,9.62215,76.70904,6.3,98.64,380.24,415.35,487.35
167,Kottayam,Pampady,Akalakunnam,Chengalam East,9.62393,76.71105,6.4,38.57,660.46,674.95,500.0
169,Kottayam,Pampady,Akalakunnam,Chengalam East,9.62396,76.71027,6.5,17.63,502.43,967.75,427.48
170,Kottayam,Pampady,Akalakunnam,Chengalam East,9.62633,76.76892,6.8,18.18,399.17,888.25,474.45
171,Kottayam,Pampady,Akalakunnam,Chengalam East,9.62614,76.70939,6.8,101.39,326.03,1000.0,426.03
172,Kottayam,Pampady,Akalakunnam,Chengalam East,9.62776,76.70758,7.1,105.25,355.71,1000.0,500.0
173,Kottayam,Pampady,Akalakunnam,Chengalam East,9.62806,76.70875,6.4,31.68,453.38,949.85,362.55
174,Kottayam,Pampady,Akalakunnam,Chengalam East,9.62818,76.70805,6.1,23.97,309.34,669.25,500.0
177,Kottayam,Pampady,Akalakunnam,Chengalam East,9.62796,76.70371,6.9,26.45,484.29,1000.0,500.0
178,Kottayam,Pampady,Akalakunnam,Chengalam East,9.63066,76.7043,6.2,34.44,313.38,1000.0,500.0
181,Kottayam,Pampady,Akalakunnam,Chengalam East,9.63408,76.70178,5.3,26.45,404.32,1000.0,457.95
183,Kottayam,Pampady,Akalakunnam,Chengalam East,9.62342,76.70959,6.5,63.65,328.72,387.45,254.25
184,Kottayam,Pampady,Akalakunnam,Chengalam East,9.62389,76.70866,5.7,117.1,267.46,324.25,136.48
185,Kottayam,Pampady,Akalakunnam,Chengalam East,9.63402,76.70842,6.6,41.88,227.7,187.45,209.73
186,Kottayam,Pampady,Akalakunnam,Chengalam East,9.62011,76.70717,5.8,112.14,219.97,277.85,91.73
187,Kottayam,Pampady,Akalakunnam,Chengalam,9.62323,76.7072,5.6,57.03,231.84,91.75,202.43
189,Kottayam,Pampady,Akalakunnam,Chengalam,9.62633,76.70496,5.9,66.12,415.41,523.65,109.88
194,Kottayam,Pampady,Akalakunnam,Chengalam,9.6163,76.70732,6.4,30.03,600.77,562.4,181.58
203,Kottayam,Pampady,Akalakunnam,Chengalam,9.62812,76.71482,7.3,92.85,458.64,1000.0,107.25
205,Kottayam,Pampady,Akalakunnam,Chengalam,9.62703,76.7176,6.5,23.14,398.61,665.05,135.13
206,Kottayam,Pampady,Akalakunnam,Chengalam,9.6237,76.69278,5.5,41.88,506.35,539.2,158.4
207,Kottayam,Pampady,Akalakunnam,Chengalam,9.62272,76.68998,5.9,62.27,473.31,499.5,148.05
209,Kottayam,Pampady,Akalakunnam,Chengalam,9.61907,76.69732,5.6,34.99,371.39,207.35,173.2
210,Kottayam,Pampady,Akalakunnam,Chengalam,9.61892,76.69742,5.2,16.81,326.82,296.2,131.35
211,Kottayam,Pampady,Akalakunnam,Chengalam,9.61912,76.69736,5.3,29.76,394.69,195.3,73.6
212,Kottayam,Pampady,Akalakunnam,Chengalam,9.61887,76.696,5.9,7.71,446.99,629.4,152.7
213,Kottayam,Pampady,Akalakunnam,Chengalam,9.61893,76.69717,6.5,9.92,349.78,915.85,182.05
214,Kottayam,Pampady,Akalakunnam,Chengalam,9.61894,76.69718,5.5,34.44,473.65,956.2,139.1
215,Kottayam,Pampady,Akalakunnam,Chengalam,9.61893,76.69716,6.6,22.59,425.26,1000.0,182.2
216,Kottayam,Pampady,Akalakunnam,Chengalam,9.61892,76.69719,6.1,114.34,667.18,971.35,240.18
217,Kottayam,Pampady,Akalakunnam,Chengalam,9.61852,76.69855,6.5,48.49,484.4,1000.0,225.28
219,Kottayam,Pampady,Akalakunnam,Chengalam,9.61852,76.68855,5.8,48.49,400.51,469.3,182.28
220,Kottayam,Pampady,Akalakunnam,Chengalam,9.61916,76.69659,5.4,69.71,311.14,536.1,146.35
221,Kottayam,Pampady,Akalakunnam,Chengalam,9.62185,76.6866,5.7,112.69,376.21,339.55,173.33
222,Kottayam,Pampady,Akalakunnam,Chengalam,9.62482,76.68994,5.6,24.8,487.2,757.35,153.75
223,Kottayam,Pampady,Akalakunnam,Chengalam,9.61871,76.69724,6.5,8.27,327.38,749.0,149.65
224,Kottayam,Pampady,Akalakunnam,Chengalam,9.62123,76.69336,6.3,17.36,196.34,336.25,92.63
225,Kottayam,Pampady,Akalakunnam,Chengalam,9.6205,76.69329,5.3,7.44,238.11,196.05,137.78
227,Kottayam,Pampady,Akalakunnam,Chengalam,9.616305556,76.67380556,4.9,52.07,160.94,927.2,65.25
228,Kottayam,Pampady,Akalakunnam,Chengalam,9.623944444,76.67927778,5.5,59.51,175.84,925.1,199.18
229,Kottayam,Pampady,Akalakunnam,Chengalam,9.611444444,76.67458333,5.2,66.4,179.31,827.3,87.93
230,Kottayam,Pampady,Akalakunnam,Chengalam,9.611722222,76.67433333,5.4,158.98,273.39,1000.0,127.08
231,Kottayam,Pampady,Akalakunnam,Chengalam,9.612166667,76.67383333,5.1,112.96,280.67,1000.0,208.8
234,Kottayam,Pampady,Akalakunnam,Chengalam,9.614194444,76.67213889,5.5,34.44,335.1,1000.0,112.65
235,Kottayam,Pampady,Akalakunnam,Chengalam,9.615611111,76.67308333,5.0,118.75,265.78,520.95,73.5
236,Kottayam,Pampady,Akalakunnam,Chengalam,9.616166667,76.67363889,5.0,62.27,339.58,1000.0,214.3
237,Kottayam,Pampady,Akalakunnam,Chengalam,9.616694444,76.67444444,5.7,60.61,286.94,938.3,92.73
238,Kottayam,Pampady,Akalakunnam,Chengalam,9.615888889,76.67616667,3.9,54.0,245.5,191.5,48.08
239,Kottayam,Pampady,Akalakunnam,Chengalam,9.623694444,76.67986111,5.0,78.52,519.12,1000.0,143.55
240,Kottayam,Pampady,Akalakunnam,Chengalam,9.624416667,76.67955556,4.2,24.52,505.23,1000.0,126.65
241,Kottayam,Pampady,Akalakunnam,Chengalam,9.625944444,76.67877778,6.1,76.87,439.71,1000.0,223.58
242,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.6280283,76.6615983,5.2,15.43,632.58,245.05,94.83
243,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.62819444,76.66083333,5.5,1.38,288.4,658.5,132.13
245,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.6249822,76.663704,5.2,5.23,346.42,155.25,148.88
247,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.6228,76.6635,5.6,27.55,305.98,1000.0,181.53
248,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.622495,76.66362,5.7,32.79,388.64,830.7,184.45
250,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.6228753,76.6655742,5.6,79.07,429.41,1000.0,203.13
251,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.6238465,76.6660399,5.2,135.56,249.87,494.0,76.68
252,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.657364,76.619825,6.0,54.83,364.11,641.75,163.38
253,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.619985,76.658028,5.2,4.13,227.7,145.6,202.75
254,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.618655,76.66044,5.2,155.67,249.31,607.65,122.28
255,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.6155401,76.657027,5.5,15.15,308.67,1000.0,49.05
256,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.623515,76.66189,5.4,9.09,177.63,218.35,48.03
257,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.620239,76.6584,5.5,6.89,270.7,717.2,144.05
258,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.618964,76.661258,5.7,16.26,428.96,695.9,134.7
259,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.624121,76.661804,5.6,18.46,318.64,370.8,124.18
260,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.622895,76.6620548,5.0,37.47,286.27,119.5,58.9
261,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.6214,76.66,5.5,10.47,526.18,262.7,125.73
262,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.62523,76.660988,5.1,9.92,289.97,147.95,82.38
263,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.625161,76.66053,5.2,61.17,281.12,458.25,139.55
264,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.62953,76.6511,5.6,20.39,204.62,446.75,128.15
265,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.6261,76.64646,5.5,16.26,135.07,130.85,139.85
266,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.62617,76.6483,6.2,17.36,226.58,199.75,126.35
267,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.625119,76.64719,5.7,58.96,329.95,492.3,182.8
270,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.62684,76.6482,6.2,59.24,674.69,387.8,160.33
271,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.6297,76.64651,5.7,63.37,321.58,331.8,146.58
272,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.62759,76.64975,6.1,34.99,272.61,739.25,157.45
273,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.63006,76.64795,6.3,30.03,339.7,815.2,174.1
274,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.64083,76.64037,6.4,42.71,155.34,606.85,109.88
275,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.62679,76.64687,6.5,28.93,174.27,341.7,111.9
276,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.62679,76.64867,6.6,55.38,313.94,729.05,183.05
278,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.62783,76.64759,6.9,18.46,241.14,471.85,129.58
279,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.62609,76.64975,6.5,13.5,190.85,393.4,152.9
280,Kottayam,Pampady,Akalakunnam,Akalakunnam,9.62759,76.64646,6.0,14.6,350.11,443.25,134.95
